date,region,state_po,candidate,party,voteshare,candidatevotes,totalvotes,ev,version
11/8/2016,Wisconsin,WI,De La Fuente,american delta party,0.050467886363254500,,,,20171015
11/8/2016,Wyoming,WY,Trump,republican,68.1726330765412,,,,20171015
11/8/2016,Wyoming,WY,Clinton,democrat,21.8773573474979,,,,20171015
11/8/2016,Wyoming,WY,Johnson,libertarian,5.19329760913664,,,,20171015
11/8/2016,Wyoming,WY,Castle,constitution party,0.798127020234591,,,,20171015
11/8/2016,National Popular Vote,NPV,Clinton,democrat,48.1845780759,,,,20210915
11/8/2016,National Popular Vote,NPV,Trump,republican,46.0855796148,,,,20210915
11/8/2016,National Popular Vote,NPV,Johnson,libertarian,3.2848209425,,,,20210915
11/8/2016,National Popular Vote,NPV,Stein,green,1.0662367159,,,,20210915
11/8/2016,National Popular Vote,NPV,McMullin,independent,0.5355929448,,,,20210915
11/3/2020,Alabama,AL,Biden,democrat,36.5699902121223,,,,20210113
11/3/2020,Alabama,AL,Trump,republican,62.0316431668648,,,,20210113
11/3/2020,Alabama,AL,Jorgensen,libertarian,1.08363943765759,,,,20210113
11/3/2020,Alabama,AL,Write-In,,0.314727183355271,,,,20210113
11/3/2020,Alaska,AK,Biden,democrat,42.7719522710205,,,,20210113
11/3/2020,Alaska,AK,Trump,republican,52.8331432703808,,,,20210113
11/3/2020,Alaska,AK,Jorgensen,libertarian,2.47461964231079,,,,20210113
11/3/2020,Alaska,AK,De La Fuente,alliance,0.088448808166217,,,,20210113
11/3/2020,Alaska,AK,Pierce,independent,0.229466247601035,,,,20210113
11/3/2020,Alaska,AK,Janos,green,0.743470642227352,,,,20210113
11/3/2020,Alaska,AK,Blankenship,constitution party,0.313464801268323,,,,20210113
11/3/2020,Alaska,AK,Write-In,,0.545434317025005,,,,20210113
11/3/2020,Arizona,AZ,Biden,democrat,49.3646906143666,,,,20210113
11/3/2020,Arizona,AZ,Trump,republican,49.0559810304647,,,,20210113
11/3/2020,Arizona,AZ,Jorgensen,libertarian,1.51934003399732,,,,20210113
11/3/2020,Arizona,AZ,La Riva,party for socialism and liberation,0.00560914420401225,,,,20210113
11/3/2020,Arizona,AZ,Cummings,constitution party,0.00106278521760232,,,,20210113
11/3/2020,Arizona,AZ,Simmons,independent,0.00696714753761522,,,,20210113
11/3/2020,Arizona,AZ,Boddie,independent,0.000383783550800838,,,,20210113
11/3/2020,Arizona,AZ,Hawkins,green,0.0459654606613004,,,,20210113
11/3/2020,Arkansas,AR,Carroll,american solidarity party,0.140517066712385,,,,20210113
11/3/2020,Arkansas,AR,Blankenship,constitution party,0.17291884216562,,,,20210113
11/3/2020,Arkansas,AR,Biden,democrat,34.775061953015,,,,20210113
11/3/2020,Arkansas,AR,Hawkins,green,0.244448837596559,,,,20210113
11/3/2020,Arkansas,AR,Pierce,independent,0.175625825937662,,,,20210113
11/3/2020,Arkansas,AR,Gammon,independent,0.120993971629169,,,,20210113
11/3/2020,Arkansas,AR,West,independent,0.33624019641218,,,,20210113
11/3/2020,Arkansas,AR,Collins,independent,0.230667829302525,,,,20210113
11/3/2020,Arkansas,AR,De La Fuente,independent,0.108361380692971,,,,20210113
11/3/2020,Arkansas,AR,Jorgensen,libertarian,1.07729751146162,,,,20210113
11/3/2020,Arkansas,AR,Myers,life and liberty party,0.112544901067946,,,,20210113
11/3/2020,Arkansas,AR,Trump,republican,62.3957298561443,,,,20210113
11/3/2020,Arkansas,AR,La Riva,party for socialism and liberation,0.109591827862082,,,,20210113
11/3/2020,California,CA,Biden,democrat,63.4839468938735,,,,20210113
11/3/2020,California,CA,Trump,republican,34.3207236252849,,,,20210113
11/3/2020,California,CA,Jorgensen,libertarian,1.0736316646002,,,,20210113
11/3/2020,California,CA,Hawkins,green,0.462999548422734,,,,20210113
11/3/2020,California,CA,De La Fuente,american independent,0.343754123006722,,,,20210113
11/3/2020,California,CA,La Riva,peace & freedom,0.291625318748239,,,,20210113
11/3/2020,California,CA,Carroll,american solidarity party,0.014884964934051,,,,20210113
