date,region,district,candidate,party,voteshare,candidatevotes,totalvotes
11/8/2016,CA,29,Alarcon,democrat,25.268298,,
11/8/2016,CA,30,Reed,republican,27.361608,,
11/8/2016,CA,30,Sherman,democrat,72.638392,,
11/8/2016,CA,31,Aguilar,democrat,56.067539,,
11/8/2016,CA,31,Chabot,republican,43.932461,,
11/8/2016,CA,32,Napolitano,democrat,61.574317,,
11/8/2016,CA,32,Hernández,democrat,38.425683,,
11/8/2016,CA,33,Wright,republican,33.560153,,
11/8/2016,CA,33,Lieu,democrat,66.439847,,
11/8/2016,CA,34,Edwards,democrat,22.816608,,
11/8/2016,CA,34,Becerra,democrat,77.183392,,
11/8/2016,CA,35,Fischella,republican,27.609088,,
11/8/2016,CA,35,Torres,democrat,72.390912,,
11/8/2016,CA,36,Stone,republican,37.946066,,
11/8/2016,CA,36,Ruiz,democrat,62.053934,,
11/8/2016,CA,37,Bass,democrat,81.126302,,
11/8/2016,CA,37,Wiggins,democrat,18.873698,,
11/8/2016,CA,38,Sánchez,democrat,70.478299,,
11/8/2016,CA,38,Downing,republican,29.521701,,
11/8/2016,CA,39,Murdock,democrat,42.769571,,
11/8/2016,CA,39,Royce,republican,57.230429,,
11/8/2016,CA,40,Gonzalez,none,28.62951,,
11/8/2016,CA,40,Roybal-Allard,democrat,71.37049,,
11/8/2016,CA,41,Shepherd,republican,35.048626,,
11/8/2016,CA,41,Takano,democrat,64.951374,,
11/8/2016,CA,42,Sheridan,democrat,41.177882,,
11/8/2016,CA,42,Calvert,republican,58.822118,,
11/8/2016,CA,43,Waters,democrat,76.084203,,
11/8/2016,CA,43,Navarro,republican,23.915797,,
11/8/2016,CA,44,Barragán,democrat,52.195748,,
11/8/2016,CA,44,Hall,democrat,47.804252,,
11/8/2016,CA,45,Varasteh,democrat,41.440248,,
11/8/2016,CA,45,Walters,republican,58.559752,,
11/8/2016,CA,46,Nguyen,democrat,29.980011,,
11/8/2016,CA,46,Correa,democrat,70.019989,,
11/8/2016,CA,47,Whallon,republican,36.278555,,
11/8/2016,CA,47,Lowenthal,democrat,63.721445,,
11/8/2016,CA,48,Rohrabacher,republican,58.319735,,
11/8/2016,CA,48,Savary,democrat,41.680265,,
11/8/2016,CA,49,Issa,republican,50.261321,,
11/8/2016,CA,49,Applegate,democrat,49.738679,,
11/8/2016,CA,50,Hunter,republican,63.451265,,
11/8/2016,CA,50,Malloy,democrat,36.548735,,
11/8/2016,CA,51,Hidalgo,republican,27.245845,,
11/8/2016,CA,51,Vargas,democrat,72.754155,,
11/8/2016,CA,52,Gitsham,republican,43.474315,,
11/8/2016,CA,52,Peters,democrat,56.525685,,
11/8/2016,CA,53,Veltmeyer,republican,32.990746,,
11/8/2016,CA,53,Davis,democrat,67.009254,,
11/8/2016,CA,PV,democrat,democrat,64.29417345347230,,
11/8/2016,CA,PV,republican,republican,34.90403099205620,,
11/8/2016,CO,1,Degette,democrat,67.870598,,
11/8/2016,CO,1,Dinges,libertarian,4.419633,,
11/8/2016,CO,1,Stockham,republican,27.709769,,
11/8/2016,CO,2,Polis,democrat,56.892231,,
11/8/2016,CO,2,Longstreth,libertarian,5.933804,,
11/8/2016,CO,2,Morse,republican,37.173964,,
11/8/2016,CO,3,Kent,libertarian,5.053778,,
11/8/2016,CO,3,Tipton,republican,54.598877,,
11/8/2016,CO,3,Schwartz,democrat,40.347345,,
11/8/2016,CO,4,Buck,republican,63.545579,,
11/8/2016,CO,4,Griffith,libertarian,4.802718,,
11/8/2016,CO,4,Seay,democrat,31.651704,,
11/8/2016,CO,5,Lamborn,republican,62.278829,,
11/8/2016,CO,5,Plowright,democrat,30.85032,,
11/8/2016,CO,5,McRedmond,libertarian,6.870851,,
11/8/2016,CO,6,Coffman,republican,50.907903,,
11/8/2016,CO,6,Olsen,libertarian,4.988616,,
11/8/2016,CO,6,Carroll,democrat,42.604877,,
11/8/2016,CO,6,Worthey,green,1.498604,,
11/8/2016,CO,7,Perlmutter,democrat,55.180244,,
11/8/2016,CO,7,Buchanan,libertarian,5.023618,,
11/8/2016,CO,7,Athanasopoulos,republican,39.796138,,
11/8/2016,CO,PV,democrat,democrat,46.78215824312830,,
11/8/2016,CO,PV,libertarian,libertarian,5.307839750532870,,
11/8/2016,CO,PV,republican,republican,47.70118729358220,,
11/8/2016,CT,1,Derosa,green,2.097314,,
11/8/2016,CT,1,Larson,working families,4.366875,,
11/8/2016,CT,1,Corey,republican,33.769861,,
11/8/2016,CT,1,Larson,democrat,59.76563,,
11/8/2016,CT,2,Reale,libertarian,1.498571,,
11/8/2016,CT,2,Courtney,working families,6.845764,,
11/8/2016,CT,2,Pelto,green,1.614544,,
11/8/2016,CT,2,Novak,republican,33.656222,,
11/8/2016,CT,2,Courtney,democrat,56.384899,,
11/8/2016,CT,3,Delauro,working families,6.88458,,
11/8/2016,CT,3,Delauro,democrat,62.152587,,
11/8/2016,CT,3,Cadena,republican,30.962833,,
11/8/2016,CT,4,Shaban,independent,1.617363,,
11/8/2016,CT,4,Himes,democrat,59.901127,,
11/8/2016,CT,4,Shaban,republican,38.481509,,
11/8/2016,CT,5,Cope,independent,1.585812,,
11/8/2016,CT,5,Esty,democrat,52.903224,,
11/8/2016,CT,5,Cope,republican,40.41378,,
11/8/2016,CT,5,Esty,working families,5.097184,,
11/8/2016,CT,PV,working families,working families,4.655143297200590,,
11/8/2016,CT,PV,republican,republican,35.43620224008610,,
11/8/2016,CT,PV,democrat,democrat,58.2061153513578,,
11/8/2016,DE,0,Reigle,republican,40.96387,,
11/8/2016,DE,0,Rochester,democrat,55.526524,,
11/8/2016,DE,0,Perri,green,1.979473,,
11/8/2016,DE,0,Gesty,libertarian,1.530133,,
11/8/2016,DE,PV,republican,republican,40.96386974373360,,
11/8/2016,DE,PV,democrat,democrat,55.52652413002800,,
11/8/2016,FL,1,Gaetz,republican,69.099858,,
11/8/2016,FL,1,Specht,democrat,30.900142,,
11/8/2016,FL,2,Dartland,democrat,29.939801,,
11/8/2016,FL,2,Lapham,libertarian,2.736203,,
11/8/2016,FL,2,Dunn,republican,67.323996,,
11/8/2016,FL,3,McGurn,democrat,39.783484,,
11/8/2016,FL,3,Yoho,republican,56.563467,,
11/8/2016,FL,3,Wells,none,3.653049,,
11/8/2016,FL,4,Bruderly,democrat,27.605938,,
11/8/2016,FL,4,Rutherford,republican,70.183888,,
11/8/2016,FL,4,Koniz,none,2.210174,,
11/8/2016,FL,5,Smith,republican,35.765698,,
11/8/2016,FL,5,Lawson,democrat,64.234302,,
11/8/2016,FL,6,McCullough,democrat,41.432647,,
11/8/2016,FL,6,Desantis,republican,58.567353,,
11/8/2016,FL,7,Mica,republican,48.521585,,
11/8/2016,FL,7,Murphy,democrat,51.478415,,
11/8/2016,FL,8,Westbrook,democrat,32.549845,,
11/8/2016,FL,8,Stinson,none,4.340167,,
11/8/2016,FL,8,Posey,republican,63.109988,,
11/8/2016,FL,9,Soto,democrat,57.48482,,
