date,region,state_po,special,runoff,offyear,candidate,party,writein,voteshare,candidatevotes,totalvotes,version
11/08/2016,Washington,WA,FALSE,FALSE,FALSE,Inslee,democratic,FALSE,0.5438964726992100,,,
11/08/2016,Vermont,VT,FALSE,FALSE,FALSE,Galbraith,independent democrat,TRUE,4.12310971277783E-05,,,
11/08/2016,Vermont,VT,FALSE,FALSE,FALSE,Lisman,independent republican,TRUE,8.88054399675226E-05,,,
11/08/2016,Vermont,VT,FALSE,FALSE,FALSE,Dunne,independent democrat,TRUE,0.00012052166852735200,,,
11/08/2016,Vermont,VT,FALSE,FALSE,FALSE,Sanders,independent,TRUE,0.00015858114279914700,,,
11/08/2016,Vermont,VT,FALSE,FALSE,FALSE,Write-In,nonpartisan,TRUE,0.0005835786055008630,,,
11/08/2016,Vermont,VT,FALSE,FALSE,FALSE,Lee,liberty union,FALSE,0.028268674515376000,,,
11/08/2016,Vermont,VT,FALSE,FALSE,FALSE,Minter,democratic,FALSE,0.44165799756419400,,,
11/08/2016,Vermont,VT,FALSE,FALSE,FALSE,Scott,republican,FALSE,0.5290806099665080,,,
11/08/2016,National Popular Vote,NPV,FALSE,FALSE,FALSE,Republican,republican,FALSE,0.4948,,,
11/08/2016,National Popular Vote,NPV,FALSE,FALSE,FALSE,Democratic,democrat,FALSE,0.4744,,,
01/03/2017,New Hampshire,NH,FALSE,FALSE,TRUE,Morse,republican,FALSE,1.0,,,
01/24/2017,South Carolina,SC,FALSE,FALSE,TRUE,McMaster,republican,FALSE,1.0,,,
04/10/2017,Alabama,AL,FALSE,FALSE,TRUE,Ivey,republican,FALSE,1.0,,,
05/22/2017,Iowa,IA,FALSE,FALSE,TRUE,Reynolds,republican,FALSE,1.0,,,
08/03/2017,West Virginia,WV,FALSE,FALSE,TRUE,Justice,republican,FALSE,1.00,,,
11/07/2017,New Jersey,NJ,FALSE,FALSE,FALSE,Ross,we the people,FALSE,0.002319067343759820,,,
11/07/2017,New Jersey,NJ,FALSE,FALSE,FALSE,Riccardi,constitution,FALSE,0.0031964012545316100,,,
11/07/2017,New Jersey,NJ,FALSE,FALSE,FALSE,Kaper-Dale,green,FALSE,0.004681442571650100,,,
11/07/2017,New Jersey,NJ,FALSE,FALSE,FALSE,Rohrman,libertarian,FALSE,0.004904035782557170,,,
11/07/2017,New Jersey,NJ,FALSE,FALSE,FALSE,Genovese,reduce property taxes,FALSE,0.00572502287634202,,,
11/07/2017,New Jersey,NJ,FALSE,FALSE,FALSE,Guadagno,republican,FALSE,0.41891436913684600,,,
11/07/2017,New Jersey,NJ,FALSE,FALSE,FALSE,Murphy,democratic,FALSE,0.5602596610343130,,,
11/07/2017,Virginia,VA,FALSE,FALSE,FALSE,Write-In,nonpartisan,TRUE,0.0005313122302796720,,,
11/07/2017,Virginia,VA,FALSE,FALSE,FALSE,Hyra,libertarian,FALSE,0.010705425045959100,,,
11/07/2017,Virginia,VA,FALSE,FALSE,FALSE,Gillespie,republican,FALSE,0.4497338083649740,,,
11/07/2017,Virginia,VA,FALSE,FALSE,FALSE,Northam,democratic,FALSE,0.5390294543587880,,,
11/07/2017,National Popular Vote,NPV,FALSE,FALSE,FALSE,Republican,republican,FALSE,0.4358,,,
11/07/2017,National Popular Vote,NPV,FALSE,FALSE,FALSE,Democratic,democrat,FALSE,0.5486,,,
01/31/2018,Kansas,KS,FALSE,FALSE,TRUE,Colyer,republican,FALSE,1.0,,,
06/01/2018,Missouri,MO,FALSE,FALSE,TRUE,Parson,republican,FALSE,1.0,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Lee,no party affiliation,TRUE,0.0,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Knox,no party affiliation,TRUE,0.0,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Choice,no party affiliation,TRUE,0.0,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Hunter,no party affiliation,TRUE,0.0,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Wilds,no party affiliation,TRUE,0.0,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Morgan,independent,FALSE,0.0,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Dembinsky,no party affiliation,FALSE,0.0,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Herman,no party affiliation,FALSE,0.0,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Murphy,no party affiliation,FALSE,0.0,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Blass,no party affiliation,TRUE,7.29877194512637E-07,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Johnson,no party affiliation,TRUE,7.42041814421181E-06,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Stanley,no party affiliation,FALSE,0.0017644781177343000,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Foley,no party affiliation,FALSE,0.0017796838926199800,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Gibson,no party affiliation,FALSE,0.0029572190997670400,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Richardson,reform,FALSE,0.00573440182488762,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,Gillum,democratic,FALSE,0.49190353310437100,,,
11/06/2018,Florida,FL,FALSE,FALSE,FALSE,DeSantis,republican,FALSE,0.4958525336652820,,,
11/06/2018,South Carolina,SC,FALSE,FALSE,FALSE,Write-In,nonpartisan,TRUE,0.0011976089985236300,,,
11/06/2018,South Carolina,SC,FALSE,FALSE,FALSE,Smith,democratic,FALSE,0.45923883602946600,,,
11/06/2018,South Carolina,SC,FALSE,FALSE,FALSE,McMaster,republican,FALSE,0.5395635549720100,,,
