date,region,state_po,class,special,runoff,offyear,candidate,party,writein,voteshare,candidatevotes,totalvotes,version
11/8/2016,Illinois,IL,3,FALSE,FALSE,FALSE,Kirk,republican,FALSE,0.397804175547964,,,20210114
11/8/2016,Illinois,IL,3,FALSE,FALSE,FALSE,Duckworth,democrat,FALSE,0.548617431049998,,,20210114
11/8/2016,Indiana,IN,3,FALSE,FALSE,FALSE,Bayh,democrat,FALSE,0.424127169313893,,,20210114
11/8/2016,Indiana,IN,3,FALSE,FALSE,FALSE,Young,republican,FALSE,0.521122425752394,,,20210114
11/8/2016,Indiana,IN,3,FALSE,FALSE,FALSE,Brenton,libertarian,FALSE,0.0547039281314935,,,20210114
11/8/2016,Iowa,IA,3,FALSE,FALSE,FALSE,Grassley,republican,FALSE,0.600899005604022,,,20210114
11/8/2016,Iowa,IA,3,FALSE,FALSE,FALSE,Judge,democrat,FALSE,0.356552345305366,,,20210114
11/8/2016,Iowa,IA,3,FALSE,FALSE,FALSE,Luick-Thrams,nominated by petition,FALSE,0.0028818275497782,,,20210114
11/8/2016,Iowa,IA,3,FALSE,FALSE,FALSE,Aldrich,libertarian,FALSE,0.0271207161935218,,,20210114
11/8/2016,Iowa,IA,3,FALSE,FALSE,FALSE,Hennager,new independent party iowa,FALSE,0.0114526850767925,,,20210114
11/8/2016,Kansas,KS,3,FALSE,FALSE,FALSE,Wiesner,democrat,FALSE,0.322381278217064,,,20210114
11/8/2016,Kansas,KS,3,FALSE,FALSE,FALSE,Garrard,libertarian,FALSE,0.0558271260745618,,,20210114
11/8/2016,Kansas,KS,3,FALSE,FALSE,FALSE,Moran,republican,FALSE,0.621752543886607,,,20210114
11/8/2016,Kentucky,KY,3,FALSE,FALSE,FALSE,Paul,republican,FALSE,0.572732884502736,,,20210114
11/8/2016,Kentucky,KY,3,FALSE,FALSE,FALSE,Gray,democrat,FALSE,0.427245050473741,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Boustany,republican,FALSE,0.149211553270599,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Edwards,democrat,FALSE,0.0259230589750343,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Vinnymendoza,democrat,FALSE,0.00246693150171889,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Fleming,republican,FALSE,0.102155097740958,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Fayard,democrat,FALSE,0.120626291171019,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Williams,democrat,FALSE,0.00343227429354232,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Gillam,libertarian,FALSE,0.00203633253856114,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Maness,republican,FALSE,0.0454912783682102,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Marone,none,FALSE,0.00205686109378145,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Pellerin,democrat,FALSE,0.00370265038668788,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Lang,other,FALSE,0.000712991771554232,,,20210114
11/8/2016,Louisiana,LA,3,FALSE,FALSE,FALSE,Billiot,none,FALSE,0.00968947806398701,,,20210114
