"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party_detailed","writein","mode","candidatevotes","totalvotes","unofficial","version","party_simplified"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"PAUL NOEL FIORINO","NONE",FALSE,"total",3216,2743023,FALSE,"20210114","OTHER"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"DAN CHAPIN","NONE",FALSE,"total",8361,2743023,FALSE,"20210114","OTHER"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"MICHAEL F. BENNET","DEMOCRAT",FALSE,"total",1370710,2743023,FALSE,"20210114","DEMOCRAT"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"LILY TANG WILLIAMS","LIBERTARIAN",FALSE,"total",99277,2743023,FALSE,"20210114","LIBERTARIAN"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"BILL HAMMONS","UNITY PARTY OF COLORADO",FALSE,"total",9336,2743023,FALSE,"20210114","OTHER"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"DARRYL GLENN","REPUBLICAN",FALSE,"total",1215318,2743023,FALSE,"20210114","REPUBLICAN"
2016,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen",FALSE,"ARN MENCONI","GREEN",FALSE,"total",36805,2743023,FALSE,"20210114","OTHER"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"RICHARD BLUMENTHAL","DEMOCRAT",FALSE,"total",920766,1596276,FALSE,"20210114","DEMOCRAT"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"RICHARD BLUMENTHAL","WORKING FAMILIES",FALSE,"total",87948,1596276,FALSE,"20210114","OTHER"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",26,1596276,FALSE,"20210114","OTHER"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"DAN CARTER","REPUBLICAN",FALSE,"total",552621,1596276,FALSE,"20210114","REPUBLICAN"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",12,1596276,FALSE,"20210114","OTHER"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"RICHARD LION","LIBERTARIAN",FALSE,"total",18190,1596276,FALSE,"20210114","LIBERTARIAN"
2016,"CONNECTICUT","CT",9,16,1,"US SENATE","statewide","gen",FALSE,"JEFFERY RUSSELL","GREEN",FALSE,"total",16713,1596276,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"CHARLES FREDERICK TOLBERT","",TRUE,"total",56,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"STEVEN MACHAT","NONE",FALSE,"total",26918,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",7,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"PATRICK MURPHY","DEMOCRAT",FALSE,"total",4122088,9301820,FALSE,"20210114","DEMOCRAT"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"PAUL STANTON","LIBERTARIAN",FALSE,"total",196956,9301820,FALSE,"20210114","LIBERTARIAN"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,"BASIL E. DALACK","NONE",FALSE,"total",22236,9301820,FALSE,"20210114","OTHER"
2016,"FLORIDA","FL",12,59,43,"US SENATE","statewide","gen",FALSE,NA,NA,TRUE,"total",50,9301820,FALSE,"20210114","OTHER"
